3746,0,0,1,1
3525,0,0,1,1
896,0,0,1,1
3642,0,0,2,2
2433,0,0,1,1
3848,1,1,1,1
3847,1,1,1,1
3645,0,0,1,1
3643,0,0,1,1
525,1,1,3,2
198,1,1,1,1
509,0,0,2,2
553,6,6,6,6
552,1,1,1,1
550,1,1,1,1
554,1,1,1,1
546,1,1,1,1
370,0,0,1,1
723,1,1,1,1
347,1,1,1,1
494,0,0,1,1
247,0,0,1,1
996,0,0,1,1
983,0,0,1,1
1008,0,0,1,1
1006,0,0,1,1
510,0,0,1,1
514,0,0,1,1
1007,0,0,1,1
3911,1,1,1,1
244,1,1,3,3
1342,0,0,1,1
1510,1,1,1,1
3142,3,3,3,3
3130,2,2,2,2
2395,0,0,1,1
256,0,0,5,5
2394,0,0,1,1
2403,0,0,1,1
2418,0,0,4,4
2411,0,0,1,1
2410,0,0,1,1
2460,1,1,2,1
3906,0,0,1,1
3969,0,0,1,1
3968,0,0,1,1
230,2,2,2,2
3784,1,1,1,1
3674,0,0,1,1
3610,0,0,1,1
4372,1,1,1,1
4432,0,0,1,1
4386,0,0,1,1
3835,1,1,1,1
4441,1,1,2,2
4479,1,1,1,1
4556,3,3,3,3
4679,2,2,6,6
4818,1,1,1,1
4893,1,1,1,1
2381,0,0,1,1
2380,0,0,1,1
5056,0,0,1,1
5601,0,0,2,2
712,0,0,1,1
2002,1,1,2,2
341,1,1,2,2
753,0,0,1,1
3675,0,0,1,1
3442,0,0,1,1
5099,0,0,1,1
4678,0,0,2,1
2028,1,1,2,2
5262,0,0,1,1
2023,0,0,2,2
5303,0,0,21,21
5614,0,0,1,1
5304,0,0,2,2
3528,0,0,1,1
287,0,0,1,1
5306,0,0,1,1
5307,0,0,2,1
5236,0,0,2,1
5237,0,0,1,1
5392,0,0,4,3
5244,0,0,1,1
5062,0,0,2,1
5066,0,0,2,1
2010,0,0,2,1
2004,0,0,2,1
5068,0,0,4,2
5076,0,0,2,1
5043,0,0,4,3
5041,0,0,2,2
5515,0,0,1,1
5152,0,0,1,1
245,0,0,1,1
5373,0,0,1,1
192,0,0,1,1
5217,0,0,1,1
5514,0,0,1,1
5259,0,0,1,1
4949,0,0,1,1
5400,0,0,1,1
5531,0,0,1,1
4910,0,0,1,1
2773,1,1,1,1
5694,1,1,1,1
5697,1,1,1,1
5699,1,1,1,1
5602,1,1,1,1
5720,2,2,2,2
1532,4,4,4,4
346,1,1,1,1
3527,1,1,3,3
4682,1,1,1,1
5758,2,2,2,2
5763,2,2,2,2
2250,1,1,1,1
5773,1,1,1,1
3144,2,2,2,2
3640,1,1,1,1
1534,2,2,2,2
4209,1,1,1,1
5782,1,1,1,1
5783,1,1,1,1
5804,2,2,2,2
568,1,1,1,1
933,1,1,1,1
934,1,1,1,1
5808,1,1,1,1
5806,1,1,1,1
5807,1,1,1,1
5857,1,1,1,1
5896,1,1,1,1
5913,5,5,5,5
5905,2,2,2,2
5911,1,1,1,1
5912,1,1,1,1
5955,2,2,2,2
5965,1,1,1,1
5969,2,2,2,2
639,1,1,1,1
5223,2,2,2,2
3524,1,1,1,1
3523,1,1,1,1
6055,1,1,1,1
6057,1,1,1,1
267,1,1,1,1
4316,1,1,1,1
6103,1,1,1,1
6104,1,1,1,1
6185,1,1,1,1
4002,1,1,1,1
6199,1,1,1,1
6984,2,2,2,2
935,1,1,2,2
976,0,0,1,1
7859,0,0,1,1
7856,0,0,2,2
6320,0,0,1,1
4155,0,0,1,1
1535,1,1,1,1
