3746, 0
3747, 0
1703, 0
3525, 0
500, 0
406, 3
410, 2
260, 0
505, 0
376, 7
510, 2
506, 0
887, 0
896, 2
3642, 4
2433, 2
3848, 3
3847, 3
3645, 2
3643, 2
1405, 0
3118, 2
525, 2
1291, 0
198, 2
192, 2
495, 0
509, 2
3125, 0
96, 0
553, 0
552, 0
550, 0
554, 0
546, 0
2021, 0
586, 0
630, 0
579, 0
341, 2
370, 8
931, 0
371, 3
720, 0
2028, 2
723, 0
347, 0
1516, 0
2741, 0
328, 4
337, 4
339, 8
353, 4
354, 4
355, 4
778, 4
377, 4
363, 4
365, 4
378, 4
383, 4
388, 6
391, 4
392, 4
393, 4
394, 4
329, 4
342, 4
788, 0
514, 2
1532, 0
256, 0
939, 0
284, 0
972, 2
963, 0
965, 3
482, 0
3421, 0
3419, 0
3417, 0
3420, 0
3415, 0
976, 0
494, 0
247, 0
996, 0
983, 0
1008, 0
1006, 0
1007, 0
3911, 0
244, 0
491, 0
1289, 0
1342, 0
1356, 0
1361, 0
3467, 0
3468, 0
1413, 0
1506, 0
1505, 0
1510, 3
3142, 3
3130, 3
927, 2
935, 4
1765, 0
3730, 0
4155, 2
3732, 0
3731, 0
893, 0
900, 0
1996, 0
1993, 0
2002, 2
1998, 0
1991, 0
1994, 0
1990, 2
1997, 0
1995, 0
1992, 0
2004, 0
1999, 0
2573, 0
1535, 0
3527, 2
3793, 0
2580, 0
3794, 0
2029, 6
2020, 0
2395, 0
2394, 0
2403, 0
2418, 0
2411, 0
2410, 0
4001, 0
3772, 0
1519, 0
3621, 0
1517, 0
3667, 0
3665, 0
352, 0
2460, 0
3978, 0
3979, 0
2503, 0
1445, 0
3128, 2
1422, 0
246, 2
3906, 0
3969, 5
3968, 5
2693, 0
1400, 0
2698, 0
230, 0
245, 0
1687, 0
1686, 0
970, 4
3209, 0
3784, 0
3674, 0
3987, 0
3990, 0
4038, 0
3449, 0
3451, 0
3450, 0
3176, 0
961, 0
2761, 0
1503, 0
3610, 0
3139, 0
4216, 0
4248, 0
4278, 50
4279, 25
348, 0
4319, 0
4334, 2
4358, 2
4368, 0
971, 2
622, 6
4392, 3
595, 3
366, 4
582, 4
4395, 24
4405, 3
4406, 3
4410, 2
1280, 0
4434, 0
1706, 2
3835, 2
4446, 2
4484, 3
4486, 0
4518, 10
4542, 5
4548, 2
3121, 2
3124, 2
4550, 0
4561, 0
4562, 0
4565, 0
4568, 0
4598, 0
4602, 2
4616, 0
4622, 0
4626, 0
4620, 0
2027, 2
4684, 9
4706, 0
4744, 0
4767, 0
4771, 0
4811, 0
4828, 2
4846, 0
4855, 0
4897, 2
4898, 0
4910, 0
4909, 0
1577, 0
4951, 0
4949, 2
4939, 9
2381, 0
2380, 0
5033, 0
5157, 2
5208, 0
5209, 2
5224, 0
5227, 0
3675, 0
712, 2
5162, 0
5166, 0
2010, 0
5164, 0
5168, 0
5287, 0
5288, 0
5304, 0
5303, 0
5305, 0
5306, 0
2023, 2
1513, 0
5308, 0
5407, 2
4683, 2
5629, 2
5580, 4
5579, 2
5576, 2
5574, 2
5670, 2
5739, 0
266, 0
3144, 0
5638, 5
5944, 2
5848, 5
6052, 6
6062, 3
6066, 8
6074, 3
639, 2
1534, 2
6088, 7
6097, 7
6095, 17
6197, 2
6199, 11
267, 0
4318, 0
6248, 2
6249, 2
6251, 2
6377, 20
4950, 0
6412, 0
6477, 0
6478, 0
6479, 0
6481, 0
3607, 0
504, 0
6772, 0
6797, 0
3006, 0
7046, 4
7045, 4
6895, 4
7049, 4
7057, 0
7058, 0
7118, 4
877, 0
7125, 0
4741, 0
374, 0
2766, 0
3752, 0
3745, 0
1378, 2
4121, 2
3433, 2
6371, 0
6835, 0
7239, 0
6700, 0
7273, 2
5252, 2
7288, 14
7287, 6
7313, 0
7439, 0
7546, 0
7765, 0
3447, 0
1386, 0
7851, 0
7921, 2
7918, 4
7977, 0
7978, 0
7980, 0
8068, 0
202, 0
7594, 0
519, 0
5568, 0
511, 0
8204, 0
8221, 0
6381, 0
